result,type1,type2,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,1984,1982,1980,1978,1976,1974
Incumbent won with <60%,Challengers,Democrats Num,(n= 69),(n= 13),(n=48), (n=69) , (n=30) , (n=18) , (n=36) , (n=42) , (n=58) , (n=14) , (n=29) , (n=31) , (n=21) , (n=28) , (n=16) , (n=53) , (n=26) , (n=20) , (n=36) , (n=70) 
Incumbent won with <60%,Challengers,Republicans Cost,"1,380,337","1,053,294","1,261,107","1,902,330","814,953","593,448","805,317","618,106","496,852","298,160","284,509","273,013","341,671","305,401","285,401","324,647","198,728","144,347","109,079","66,405"
Incumbent won with <60%,Challengers,Republicans Num,(n= 26),(n= 74),(n=27), (n=10) , (n=19) , (n=25) , (n=32) , (n=44) , (n=40) , (n=71) , (n=55) , (n=44) , (n=23) , (n=18) , (n=56) , (n=31) , (n=50) , (n=51) , (n=62) , (n=20) 
Incumbent was defeated,Incumbents,Total Cost,"3,109,662","2,537,954","2,356,382","2,807,512","2,477,049","1,848,559","2,529,571","1,344,603","1,096,655","990,992","888,204","666,647","956,081","582,647","463,070","453,459","286,559","200,607","154,774","101,102"
Incumbent was defeated,Incumbents,Total Num,(n= 32),(n= 55),(n=19), (n=22) , (n=7) , (n=8) , (n=6) , (n=6) , (n=21) , (n=34) , (n=24) , (n=15) , (n=5) , (n=6) , (n=16) , (n=29) , (n=31) , (n=19) , (n=12) , (n=40) 
Incumbent was defeated,Incumbents,Democrats Cost,"2,520,405","2,569,867","1,976,661",NA,"2,584,509","1,793,020","1,332,829","854,227","710,406","990,992","947,775","589,707","935,494","528,101","483,204","353,201","285,636","189,994","97,874","64,191"
Incumbent was defeated,Incumbents,Democrats Num,(n= 12),(n= 53),(n=5),(n=0), (n=5) , (n=5) , (n=2) , (n=1) , (n=3) , (n=34) , (n=16) , (n=6) , (n=2) , (n=1) , (n=13) , (n=3) , (n=28) , (n=14) , (n=7) , (n=4) 
Incumbent was defeated,Incumbents,Republicans Cost,"3,463,216","1,692,257","2,491,997","2,807,512","2,208,400","1,941,124","3,127,942","1,442,678","1,170,502",NA,"769,062","717,941","969,806","593,556","375,824","465,027","295,170","230,323","234,435","105,203"
Incumbent was defeated,Incumbents,Republicans Num,(n= 20),(n= 2),(n=14), (n=22) , (n=2) , (n=3) , (n=4) , (n=5) , (n=18) ,(n=0), (n=8) , (n=9) , (n=3) , (n=5) , (n=3) , (n=26) , (n=3) , (n=5) , (n=5) , (n=36) 
Incumbent was defeated,Challengers,Total Cost,"2,477,386","1,721,226","1,988,831","1,836,394","1,670,261","1,603,226","1,980,195","1,148,979","1,088,275","698,489","445,930","453,241","625,120","455,071","515,622","296,273","343,093","217,083","144,720","100,435"
Incumbent was defeated,Challengers,Total Num,(n= 22),(n= 55),(n=19), (n=22) , (n=5) , (n=4) , (n=6) , (n=6) , (n=21) , (n=34) , (n=19) , (n=15) , (n=5) , (n=11) , (n=16) , (n=23) , (n=31) , (n=19) , (n=12) , (n=40) 
Incumbent was defeated,Challengers,Democrats Cost,"2,628,422","1,760,914","2,188,754","1,836,394","1,727,446","1,977,279","2,479,356","1,209,237","1,064,852",NA,"351,847","527,773","808,908","504,673","249,462","292,781","353,855","192,037","144,491","103,661"
Incumbent was defeated,Challengers,Democrats Num,(n= 18),(n= 2),(n=14), (n=22) , (n=2) , (n=2) , (n=4) , (n=5) , (n=18) ,(n=0), (n=6) , (n=8) , (n=3) , (n=9) , (n=3) , (n=22) , (n=4) , (n=5) , (n=5) , (n=36) 
Incumbent was defeated,Challengers,Republicans Cost,"1,797,724","1,719,728","1,429,049",NA,"1,632,138","1,229,173","981,874","847,692","1,231,615","698,489","489,353","334,444","349,438","231,864","577,044","373,093","341,499","226,028","144,883","71,404"
Incumbent was defeated,Challengers,Republicans Num,(n= 4),(n= 53),(n=5),(n=0), (n=3) , (n=2) , (n=2) , (n=1) , (n=3) , (n=34) , (n=13) , (n=6) , (n=2) , (n=2) , (n=13) , (n=1) , (n=27) , (n=14) , (n=7) , (n=4) 
