result,type1,type2,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,1984,1982,1980,1978,1976,1974
Incumbent won with <60%,Challengers,Total Cost,"10,121,385","9,032,104","4,291,294","10,356,810","4,337,629","2,570,080","2,757,598","4,932,471","3,660,942","5,546,353","2,283,708","2,865,673","3,784,451","3,389,477","2,296,194","1,615,338","864,870","1,075,965","358,964","298,133"
Incumbent won with <60%,Challengers,Total Num,(n=8),(n=8),(n=8), (n=6) , (n=7) , (n=8) , (n=3) , (n=7) , (n=13) , (n=14) , (n=10) , (n=12) , (n=8) , (n=7) , (n=7) , (n=14) , (n=6) , (n=8) , (n=5) , (n=14) 
Incumbent won with <60%,Challengers,Democrats Cost,"11,624,934","1,602,760","4,672,807","12,527,378","4,240,253","2,466,826","2,757,598","4,304,098","3,521,336","1,034,241","3,032,533","2,927,948","3,209,075","1,990,836","4,028,715","1,629,490","1,139,376","1,212,929","282,441","254,374"
Incumbent won with <60%,Challengers,Democrats Num,(n=1),(n=2),(n=6), (n=3) , (n=4) , (n=4) , (n=3) , (n=2) , (n=8) , (n=3) , (n=6) , (n=5) , (n=4) , (n=6) , (n=3) , (n=9) , (n=2) , (n=6) , (n=4) , (n=10) 
Incumbent won with <60%,Challengers,Republicans Cost,"9,906,592","11,508,552","3,146,756","8,186,241","4,467,463","2,673,335", - ,"5,183,821","3,884,311","6,776,929","1,160,471","2,821,191","4,359,826","11,781,316","996,804","1,589,864","727,617","332,537","665,058","407,531"
Incumbent won with <60%,Challengers,Republicans Num,(n=7),(n=6),(n=2), (n=3) , (n=3) , (n=4) , (n=0) , (n=5) , (n=5) , (n=11) , (n=4) , (n=7) , (n=4) , (n=1) , (n=4) , (n=5) , (n=4) , (n=2) , (n=1) , (n=4) 
Incumbent was defeated,Incumbents,Total Cost,"35,058,354","13,544,935","11,986,236","14,049,176","19,975,170","8,824,759","7,622,785","13,563,761","4,468,434","5,508,854","4,894,814","7,229,154","2,579,437","4,358,340","3,520,088","1,658,623","1,693,991","908,348","983,196","513,456"
Incumbent was defeated,Incumbents,Total Num,(n=1),(n=2),(n=5), (n=6) , (n=1) , (n=3) , (n=6) , (n=3) , (n=1) , (n=2) , (n=4) , (n=1) , (n=4) , (n=7) , (n=3) , (n=2) , (n=9) , (n=7) , (n=9) , (n=2) 
Incumbent was defeated,Incumbents,Democrats Cost,0,"13,544,935",-, - ,"19,975,170","10,705,177",6810252,"7,129,612",NA,"5,508,854","3,751,500",NA,"1,338,622",NA,"2,380,239","1,625,042","1,693,991","678,406","714,201",NA
Incumbent was defeated,Incumbents,Democrats Num,(n=0),(n=2),(n=0), (n=0) , (n=1) , (n=2) , (n=1) , (n=1) , (n=0) , (n=2) , (n=2) , (n=0) , (n=1) , (n=0) , (n=1) , (n=1) , (n=9) , (n=5) , (n=5) , (n=0) 
Incumbent was defeated,Incumbents,Republicans Cost,"35,058,354",0,"11,986,236","14,049,176", - ,"5,063,923","7,785,291","16,780,836","4,468,434",NA,"6,074,128","7,229,154","2,993,042","4,358,340","4,090,013","1,692,204",NA,"1,483,203","1,319,440","513,456"
Incumbent was defeated,Incumbents,Republicans Num,(n=1),(n=0),(n=5), (n=6) , (n=0) , (n=1) , (n=5) , (n=2) , (n=1) , (n=0) , (n=2) , (n=1) , (n=3) , (n=7) , (n=2) , (n=1) , (n=0) , (n=2) , (n=4) , (n=2) 
Incumbent was defeated,Challengers,Total Cost,"42,211,677","9,219,425","9,838,737","10,039,869","14,660,167","4,698,340","10,518,085","14,251,319","2,990,554","8,125,137","4,045,732","1,380,560","2,516,337","3,098,027","3,066,175","793,123","1,367,400","918,054","784,392","679,614"
Incumbent was defeated,Challengers,Total Num,(n=1),(n=2),(n=5), (n=6) , (n=1) , (n=3) , (n=6) , (n=3) , (n=1) , (n=2) , (n=4) , (n=1) , (n=4) , (n=7) , (n=3) , (n=2) , (n=9) , (n=7) , (n=9) , (n=2) 
Incumbent was defeated,Challengers,Democrats Cost,"42,211,677",0,"9,838,737","10,039,869",NA,"3,629,022","8,628,233","12,537,880","2,990,554",NA,"5,016,438","1,380,560","2,996,572","3,098,027","3,711,199","1,586,245",NA,"870,079","1,008,440","679,614"
Incumbent was defeated,Challengers,Democrats Num,(n=1),(n=0),(n=5), (n=6) ,(n=0), (n=1) , (n=5) , (n=2) , (n=1) , (n=0) , (n=2) , (n=1) , (n=3) , (n=7) , (n=2) , (n=1) ,(n=0), (n=2) , (n=4) , (n=2) 
Incumbent was defeated,Challengers,Republicans Cost,0,"9,219,425",NA,NA,"14,660,167","5,232,999","19,967,341","17,678,198",NA,"8,125,137","3,075,026",NA,"1,075,631",NA,"1,776,128","981,197","1,367,400","937,244","605,153",NA
Incumbent was defeated,Challengers,Republicans Num,(n=0),(n=2),(n=0),(n=0), (n=1) , (n=2) , (n=1) , (n=1) ,(n=0), (n=2) , (n=2) ,(n=0), (n=1) ,(n=0), (n=1) , (n=1) , (n=9) , (n=5) , (n=5) ,(n=0)
